chamber_pressure_bar,mixture_ratio_o_f,propellant_family,isp_index,c_star_index,thrust_coefficient_index,chamber_temperature_index,note
10.0,1.2,lox_ethanol_proxy,0.6744,0.58092,0.7055,0.61774,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
10.0,1.5,lox_ethanol_proxy,0.83572,0.76707,0.7055,0.75766,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
10.0,1.8,lox_ethanol_proxy,0.9076,0.85,0.7055,0.82,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
10.0,2.1,lox_ethanol_proxy,0.83572,0.76707,0.7055,0.75766,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
10.0,2.4,lox_ethanol_proxy,0.6744,0.58092,0.7055,0.61774,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
12.5,1.2,lox_ethanol_proxy,0.67649,0.58092,0.71161,0.61774,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
12.5,1.5,lox_ethanol_proxy,0.83782,0.76707,0.71161,0.75766,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
12.5,1.8,lox_ethanol_proxy,0.90969,0.85,0.71161,0.82,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
12.5,2.1,lox_ethanol_proxy,0.83782,0.76707,0.71161,0.75766,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
12.5,2.4,lox_ethanol_proxy,0.67649,0.58092,0.71161,0.61774,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
15.0,1.2,lox_ethanol_proxy,0.6782,0.58092,0.71659,0.61774,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
15.0,1.5,lox_ethanol_proxy,0.83953,0.76707,0.71659,0.75766,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
15.0,1.8,lox_ethanol_proxy,0.9114,0.85,0.71659,0.82,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
15.0,2.1,lox_ethanol_proxy,0.83953,0.76707,0.71659,0.75766,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
15.0,2.4,lox_ethanol_proxy,0.6782,0.58092,0.71659,0.61774,"Educational non-operational artifact. Not for fabrication, pressure testing, propellant use, ignition, launch, or hot-fire operations."
